Judge_A,Judge_B,Post_AO,Post_BO,Post_AS,Post_BS
-0.35,0.5,0.285714286,0.714285714,0.35,0.65
-0.6,0.6,0.130434783,0.869565217,0.2,0.8
-0.7,0.7,0.049586777,0.950413223,0.14,0.86
-0.8,0.75,0.016329705,0.983670295,0.12,0.88
-0.85,0.77,0.004720692,0.995279308,0.08,0.92
-0.85,0.77,0.009397024,0.990602976,0.1,0.9
-0.78,0.65,0.019271237,0.980728763,0.12,0.88
-0.43,0.6,0.040604399,0.959395601,0.18,0.82
-0.82,0.67,0.010469944,0.989530056,0.15,0.85
-0.85,0.8,0.00222257,0.99777743,0.08,0.92
-0.35,-0.15,0.285714286,0.714285714,0.2,0.8
-0.35,-0.35,0.444444444,0.555555556,0.5,0.5
-0.35,0,0.230769231,0.769230769,0.3,0.7
-0.6,0.1,0.094488189,0.905511811,0.2,0.8
-0.65,0.17,0.03213466,0.96786534,0.15,0.85
-0.6,0,0.064349112,0.935650888,0.25,0.75
-0.65,0.2,0.019271237,0.980728763,0.15,0.85
-0.62,0.18,0.040604399,0.959395601,0.12,0.88
-0.7,0.25,0.010469944,0.989530056,0.1,0.9
-0.75,0.38,0.00222257,0.99777743,0.05,0.95
-0.35,-0.35,0.666666667,0.333333333,0.5,0.5
-0.35,-0.35,0.444444444,0.555555556,0.5,0.5
-0.35,-0.35,0.230769231,0.769230769,0.5,0.5
-0.85,0.35,0.094488189,0.905511811,0.4,0.6
-0.35,-0.35,0.17773238,0.82226762,0.6,0.4
-0.85,0.35,0.064349112,0.935650888,0.25,0.75
-0.85,0.35,0.019271237,0.980728763,0.15,0.85
-0.35,0.35,0.040604399,0.959395601,0.2,0.8
-0.85,0.35,0.010469944,0.989530056,0.1,0.9
-0.85,0.35,0.00222257,0.99777743,0.05,0.95
0.15,0.05,0.666666667,0.333333333,0.55,0.45
0.15,0.03,0.805555556,0.194444444,0.56,0.44
0.05,0.1,0.623655914,0.376344086,0.5,0.5
-0.15,0.2,0.383259912,0.616740088,0.45,0.55
-0.1,0.04,0.572368421,0.427631579,0.5,0.5
-0.15,0.08,0.317663168,0.682336832,0.4,0.6
-0.05,0.04,0.511597517,0.488402483,0.4,0.6
-0.33,0.28,0.249977196,0.750022804,0.35,0.65
-0.37,0.4,0.086946866,0.913053134,0.3,0.7
-0.67,0.67,0.023253051,0.976746949,0.25,0.75
-0.75,-0.95,0.666666667,0.333333333,0.61,0.39
-0.75,-0.4,0.444444444,0.555555556,0.41,0.59
-0.25,-0.4,0.623655914,0.376344086,0.68,0.32
-0.15,-0.45,0.781144781,0.218855219,0.7,0.3
-0.15,-0.4,0.572368421,0.427631579,0.67,0.33
-0.2,-0.25,0.317663168,0.682336832,0.48,0.52
-0.45,0.02,0.12901859,0.87098141,0.4,0.6
-0.3,0.02,0.249977196,0.750022804,0.42,0.58
-0.15,0,0.440647988,0.559352012,0.43,0.57
-0.5,0.2,0.183727342,0.816272658,0.39,0.61
0.15,-0.05,0.666666667,0.333333333,0.75,0.25
0.05,-0.02,0.444444444,0.555555556,0.5,0.5
-0.05,0.05,0.230769231,0.769230769,0.375,0.625
0.05,-0.05,0.383259912,0.616740088,0.533333333,0.466666667
-0.2,0.3,0.17773238,0.82226762,0.25,0.75
-0.45,0.4,0.064349112,0.935650888,0.142857143,0.857142857
-0.6,0.5,0.019271237,0.980728763,0.111111111,0.888888889
-0.75,0.75,0.004888464,0.995111536,0.1,0.9
-0.75,0.75,0.010469944,0.989530056,0.1,0.9
-0.75,0.73,0.023253051,0.976746949,0.15,0.85
-0.45,0.4,0.285714286,0.714285714,0.3,0.7
-0.15,0.2,0.444444444,0.555555556,0.45,0.55
0.5,-0.7,0.623655914,0.376344086,0.8,0.2
-0.15,-0.05,0.383259912,0.616740088,0.55,0.45
0.15,-0.2,0.572368421,0.427631579,0.65,0.35
0.3,-0.4,0.75071908,0.24928092,0.75,0.25
0.2,-0.2,0.511597517,0.488402483,0.6,0.4
0.4,-0.5,0.712303844,0.287696156,0.8,0.2
0.1,-0.1,0.440647988,0.559352012,0.6,0.4
0.55,-0.6,0.663238141,0.336761859,0.85,0.15
-0.2,0.2,0.285714286,0.714285714,0.4375,0.5625
-0.3,0.3,0.130434783,0.869565217,0.2,0.8
-0.4,0.4,0.049586777,0.950413223,0.16,0.84
-0.4,0.4,0.094488189,0.905511811,0.16,0.84
-0.5,0.5,0.03213466,0.96786534,0.15,0.85
-0.6,0.6,0.009397024,0.990602976,0.1,0.9
-0.7,0.7,0.002365931,0.997634069,0.05,0.95
-0.8,0.8,0.000499023,0.999500977,0.03,0.97
-0.9,0.9,8.32E-05,0.999916795,0.02,0.98
-0.82,0.82,0.000172338,0.999827662,0.05,0.95
-0.15,-0.8,0.666666667,0.333333333,0.75,0.25
0.15,-0.83,0.805555556,0.194444444,0.8,0.2
0.4,-0.9,0.899224806,0.100775194,0.82,0.18
0.6,-0.95,0.952554745,0.047445255,0.85,0.15
0.75,-0.95,0.979362101,0.020637899,0.88,0.12
0.72,-0.92,0.991641337,0.008358663,0.9,0.1
0.9,-0.95,0.99684904,0.00315096,0.92,0.08
0.9,-0.97,0.998901757,0.001098243,0.94,0.06
0.8,-0.75,0.997258909,0.002741091,0.94,0.06
0.75,-0.75,0.992723665,0.007276335,0.94,0.06
0.85,0.5,0.666666667,0.333333333,0.7,0.3
0.87,0.2,0.805555556,0.194444444,0.75,0.25
0.9,-0.2,0.899224806,0.100775194,0.8,0.2
